,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
2507,0.64,0.77,0.86,1.0,1.0,0.79,0.83,0.54,0.79,0.28,0.9,0.05,0.36,0.0,0.0,0.01,3
4825,0.53,0.91,1.0,1.0,0.86,1.0,0.28,0.86,0.58,0.64,0.98,0.32,0.6,0.0,0.0,0.01,5
1030,0.26,1.0,0.11,0.78,0.0,0.51,0.16,0.28,0.59,0.36,1.0,0.51,0.85,0.26,0.69,0.0,4
7312,0.08,0.7,0.0,0.96,0.46,1.0,1.0,0.98,0.96,0.75,0.69,0.5,0.48,0.24,0.58,0.0,7
3914,0.34,0.89,0.68,1.0,0.78,0.8,0.61,0.67,1.0,0.48,0.95,0.19,0.51,0.0,0.0,0.0,3
7106,0.49,0.72,0.99,0.97,1.0,1.0,0.81,0.6,0.66,0.2,0.0,0.0,0.09,0.03,0.99,0.08,1
5563,0.22,0.75,0.58,0.41,0.38,0.0,0.0,0.08,0.55,0.39,1.0,0.74,0.6,1.0,0.07,0.76,8
2627,0.76,1.0,0.44,0.86,0.11,0.55,0.0,0.19,0.46,0.0,1.0,0.14,0.59,0.36,0.13,0.26,6
819,0.45,1.0,0.04,0.75,0.0,0.47,0.8,0.39,1.0,0.64,0.82,0.57,0.66,0.28,0.68,0.0,4
3226,0.68,0.55,0.98,0.94,0.35,1.0,0.0,0.65,0.75,0.8,1.0,0.61,0.76,0.2,0.06,0.0,9
7771,0.39,0.68,0.67,1.0,0.74,0.78,0.78,0.38,0.86,0.0,1.0,0.04,0.39,0.07,0.0,0.14,1
3394,0.0,0.95,0.3,1.0,0.55,0.8,0.34,0.52,0.06,0.27,0.21,0.05,0.67,0.0,1.0,0.03,2
6356,0.0,0.88,0.39,0.74,0.88,0.97,0.13,1.0,0.34,0.89,1.0,0.74,0.81,0.35,0.51,0.0,9
5136,0.98,0.75,0.34,1.0,0.0,0.75,0.7,0.41,0.99,0.0,0.16,0.13,0.61,0.53,1.0,0.85,8
7463,0.0,0.79,0.65,0.71,1.0,1.0,0.27,0.9,0.03,0.62,0.78,0.68,0.7,0.41,0.35,0.0,9
5378,0.2,0.76,0.39,1.0,0.56,0.79,0.32,0.46,0.0,0.22,0.21,0.18,0.59,0.01,1.0,0.0,2
4489,1.0,1.0,0.64,0.9,0.24,0.52,0.37,0.09,0.96,0.0,0.92,0.42,0.29,0.5,0.0,0.17,6
9763,0.37,0.76,0.46,1.0,0.99,0.95,0.74,0.61,1.0,0.5,0.91,0.18,0.42,0.0,0.0,0.15,3
8115,0.42,0.97,0.13,0.94,0.51,0.76,0.57,1.0,0.9,0.64,1.0,0.21,0.55,0.0,0.0,0.0,9
8072,0.0,0.99,0.57,1.0,0.88,0.7,0.8,0.33,0.52,0.0,0.03,0.03,0.4,0.24,1.0,0.27,7
3681,1.0,1.0,0.58,0.95,0.23,0.68,0.01,0.38,0.0,0.05,0.55,0.0,0.57,0.25,0.07,0.19,6
8865,1.0,0.77,0.58,1.0,0.16,0.69,0.0,0.27,0.4,0.0,0.93,0.15,0.95,0.58,0.53,0.89,0
9666,0.42,1.0,0.15,0.73,0.0,0.45,0.04,0.17,0.51,0.0,1.0,0.16,0.92,0.43,0.34,0.39,6
3706,0.59,0.9,0.16,0.88,0.0,0.41,0.25,0.0,0.77,0.1,1.0,0.55,0.82,1.0,0.35,0.94,0
