,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
2610,0.26,0.8,0.53,1.0,1.0,0.98,0.93,0.76,0.55,0.59,0.71,0.37,0.37,0.17,0.0,0.0,3
856,0.0,0.54,0.04,1.0,0.43,0.98,0.36,0.48,0.1,0.06,0.11,0.02,0.56,0.09,1.0,0.0,2
4187,0.0,0.44,0.41,0.62,0.78,0.85,1.0,1.0,0.87,0.75,0.7,0.5,0.55,0.25,0.41,0.0,1
4086,0.54,0.82,0.26,0.63,1.0,0.76,0.28,1.0,0.61,0.5,0.0,0.36,0.49,0.0,0.55,0.54,8
7299,0.0,0.95,0.56,1.0,0.61,0.8,0.51,0.4,0.44,0.0,0.17,0.27,0.41,0.39,1.0,0.47,7
4545,0.0,0.62,0.42,0.79,0.79,1.0,1.0,0.98,0.85,0.73,0.69,0.48,0.52,0.23,0.27,0.0,1
6580,0.26,0.91,0.0,0.8,0.02,0.34,0.33,0.0,0.8,0.08,1.0,0.5,0.82,0.92,0.38,1.0,0
7339,0.44,0.86,0.71,1.0,1.0,0.88,0.73,0.69,0.61,0.51,0.68,0.26,0.36,0.1,0.0,0.0,3
1840,0.07,0.85,0.29,1.0,0.28,0.7,0.26,0.55,0.83,0.58,1.0,0.31,0.55,0.11,0.0,0.0,3
888,0.0,0.85,0.32,1.0,0.76,0.91,0.7,0.65,0.38,0.43,0.11,0.2,0.5,0.06,1.0,0.0,2
3696,0.25,1.0,0.0,0.66,0.14,0.33,0.76,0.29,1.0,0.47,0.74,0.82,0.48,0.42,0.29,0.0,4
5212,0.4,0.8,0.63,1.0,1.0,0.91,0.84,0.67,0.52,0.46,0.18,0.28,0.0,0.06,0.47,0.0,2
5154,0.0,0.91,0.51,1.0,0.84,0.82,0.51,0.43,0.25,0.0,0.01,0.16,0.39,0.4,1.0,0.41,7
7996,0.78,0.96,0.09,0.75,1.0,0.66,0.82,1.0,0.17,0.54,0.0,0.0,0.81,0.18,0.24,0.61,8
4577,0.0,0.85,0.28,1.0,0.53,0.82,0.31,0.5,0.07,0.19,0.25,0.0,0.63,0.03,1.0,0.04,2
9742,0.0,0.56,0.29,0.7,0.66,0.87,1.0,1.0,0.88,0.75,0.73,0.5,0.58,0.25,0.48,0.0,1
9281,0.59,0.94,0.2,0.66,0.58,0.46,0.5,0.02,0.0,0.0,0.21,0.49,0.49,0.96,1.0,1.0,5
5069,0.38,0.83,0.4,0.53,0.55,0.14,0.11,0.0,0.0,0.3,0.1,0.71,0.52,0.92,1.0,1.0,5
2344,0.88,1.0,0.25,0.87,0.61,0.58,0.92,0.89,0.89,0.63,1.0,0.23,0.47,0.0,0.0,0.23,9
7389,0.93,1.0,0.52,0.91,0.23,0.57,0.11,0.2,0.6,0.0,1.0,0.29,0.41,0.3,0.0,0.0,6
6759,0.38,0.85,0.73,1.0,0.9,0.77,0.52,0.56,1.0,0.49,0.95,0.18,0.5,0.0,0.0,0.11,3
1920,0.1,0.86,0.0,0.97,0.5,0.99,1.0,1.0,0.79,0.78,0.63,0.53,0.5,0.26,0.47,0.0,7
971,0.32,0.87,0.26,0.62,0.65,0.29,0.45,0.0,0.19,0.35,0.0,0.75,0.3,1.0,1.0,1.0,5
4334,0.0,0.75,0.25,1.0,0.9,0.83,0.45,0.56,0.59,0.47,1.0,0.18,0.43,0.0,0.06,0.19,3
319,0.5,1.0,0.1,0.73,0.0,0.29,0.36,0.0,0.83,0.17,1.0,0.6,0.68,0.94,0.26,0.76,0
7683,0.33,1.0,0.08,0.75,0.0,0.48,0.49,0.34,1.0,0.47,0.99,0.53,0.9,0.27,0.78,0.0,4
8,1.0,1.0,0.57,0.85,0.2,0.57,0.0,0.27,0.26,0.0,0.9,0.08,0.81,0.34,0.14,0.36,6
8411,0.01,0.87,0.38,1.0,0.49,0.63,0.34,0.22,0.16,0.0,0.0,0.29,0.49,0.24,1.0,0.22,7
6987,0.18,1.0,0.16,0.9,0.0,0.63,0.28,0.44,0.88,0.52,1.0,0.53,0.89,0.27,0.88,0.0,4
2833,0.16,1.0,0.09,0.84,0.0,0.59,0.3,0.4,0.86,0.49,1.0,0.47,0.75,0.24,0.63,0.0,4
9779,0.31,0.87,0.2,0.59,0.92,0.56,0.73,0.15,0.0,0.0,0.06,0.44,0.25,0.9,1.0,1.0,5
9433,0.03,0.85,0.42,1.0,0.88,0.89,0.65,0.6,0.26,0.36,0.0,0.11,0.51,0.0,1.0,0.02,2
3920,0.07,0.72,0.34,1.0,0.79,0.95,0.67,0.61,0.33,0.33,0.0,0.05,0.48,0.0,1.0,0.01,2
5383,0.0,0.82,0.56,1.0,1.0,0.91,0.71,0.57,0.38,0.24,0.03,0.0,0.05,0.33,0.7,0.36,7
3323,0.19,1.0,0.0,0.71,0.1,0.43,0.53,0.34,0.93,0.43,1.0,0.55,0.8,0.27,0.59,0.0,4
2903,0.12,0.99,0.49,1.0,1.0,0.93,0.65,0.62,0.28,0.32,0.0,0.0,0.11,0.35,0.72,0.39,7
1200,0.05,0.97,0.09,0.61,0.37,0.25,0.0,0.0,0.07,0.32,0.56,0.64,1.0,0.96,0.37,1.0,8
7079,0.42,0.81,0.07,0.65,0.0,0.2,0.45,0.0,0.89,0.32,1.0,0.76,0.55,1.0,0.07,0.73,0
8793,0.61,0.92,1.0,1.0,1.0,0.94,0.62,0.83,0.3,0.6,0.49,0.27,0.36,0.0,0.0,0.06,5
1311,0.72,1.0,0.43,0.74,0.19,0.48,0.04,0.2,0.36,0.0,1.0,0.16,0.58,0.28,0.0,0.1,6
7721,0.51,0.96,0.2,0.54,0.78,0.53,0.65,0.12,0.0,0.0,0.11,0.43,0.4,0.9,1.0,1.0,5
85,0.0,0.71,0.36,0.67,0.73,0.77,1.0,1.0,0.98,0.95,0.86,0.62,0.74,0.3,0.6,0.0,1
7691,0.0,0.85,0.22,1.0,0.53,0.83,0.45,0.55,0.21,0.31,0.15,0.06,0.57,0.01,1.0,0.0,2
4973,0.56,0.97,0.16,1.0,0.0,0.55,0.18,0.11,0.67,0.0,1.0,0.36,0.91,0.82,0.44,0.98,0
8484,0.25,0.77,0.15,0.82,0.0,0.4,0.21,0.0,0.73,0.0,1.0,0.38,0.85,0.79,0.37,1.0,0
3068,0.71,0.95,0.37,0.79,0.0,0.47,0.9,0.47,1.0,0.68,0.75,1.0,0.63,0.5,0.66,0.0,4
187,0.55,0.9,0.44,0.56,0.29,0.13,0.0,0.0,0.28,0.38,0.64,0.69,1.0,1.0,0.63,0.99,8
7716,0.13,1.0,0.17,0.79,0.0,0.52,0.56,0.55,1.0,0.65,0.93,0.53,0.77,0.27,0.73,0.0,4
4719,0.0,0.83,0.29,1.0,0.63,0.95,0.46,0.62,0.25,0.31,0.25,0.0,0.63,0.04,1.0,0.14,2
195,0.0,0.79,0.32,1.0,0.69,0.93,0.54,0.58,0.25,0.29,0.04,0.05,0.52,0.0,1.0,0.02,2
9623,0.0,0.84,0.34,1.0,0.89,0.94,0.93,0.69,0.54,0.49,1.0,0.35,0.92,0.11,0.39,0.0,3
8239,1.0,0.93,0.78,0.95,0.29,1.0,0.0,0.82,0.33,0.7,0.73,0.45,0.61,0.0,0.18,0.01,5
3009,0.77,1.0,0.42,0.79,0.14,0.57,0.0,0.33,0.16,0.09,0.77,0.0,1.0,0.17,0.42,0.21,6
4203,0.0,0.86,0.39,1.0,0.51,0.66,0.35,0.32,0.08,0.01,0.01,0.0,0.51,0.15,1.0,0.0,2
8769,0.93,1.0,0.58,0.79,0.28,0.5,0.08,0.18,0.47,0.0,1.0,0.14,0.58,0.25,0.0,0.19,6
6010,0.17,0.66,0.45,1.0,0.42,0.82,0.45,0.4,0.41,0.0,0.0,0.09,0.51,0.1,1.0,0.1,1
95,0.0,0.87,0.32,1.0,0.75,0.9,0.64,0.45,0.49,0.0,0.82,0.1,1.0,0.33,0.54,0.37,7
7780,0.0,0.54,0.24,0.68,0.71,0.89,1.0,1.0,0.69,0.76,0.43,0.5,0.19,0.26,0.05,0.0,1
6052,0.0,0.94,0.44,1.0,0.8,0.86,0.57,0.43,0.33,0.0,0.28,0.02,0.41,0.38,1.0,0.44,7
8845,1.0,1.0,0.62,0.86,0.35,0.55,0.22,0.19,0.55,0.0,0.85,0.27,0.47,0.48,0.0,0.4,6
8116,0.97,0.85,0.53,1.0,0.12,0.78,0.74,0.74,0.97,0.86,1.0,0.44,0.61,0.12,0.0,0.0,9
264,0.49,0.84,0.49,0.62,0.48,0.22,0.07,0.0,0.0,0.3,0.09,0.72,0.53,0.9,1.0,1.0,5
3755,0.63,1.0,0.41,0.63,0.0,0.36,0.88,0.4,1.0,0.63,0.72,0.78,0.76,0.39,0.82,0.0,4
9715,0.0,0.92,0.54,1.0,0.65,0.83,0.63,0.63,0.85,0.44,1.0,0.24,0.63,0.08,0.07,0.0,3
8739,0.29,0.91,1.0,1.0,0.79,1.0,0.04,0.95,0.21,0.68,0.68,0.42,0.68,0.14,0.0,0.0,5
5849,0.17,0.87,0.12,0.65,0.64,0.43,0.52,0.0,0.0,0.14,0.04,0.61,0.35,0.97,1.0,1.0,5
4490,0.31,0.79,0.55,0.49,0.7,0.14,0.32,0.0,0.14,0.38,0.0,0.71,0.49,0.86,1.0,1.0,5
9150,0.35,1.0,0.35,0.87,0.14,0.62,0.0,0.35,0.35,0.16,0.97,0.34,1.0,0.26,0.89,0.0,4
3732,0.62,1.0,0.0,0.57,0.94,0.71,0.34,0.93,0.26,0.47,0.13,0.0,1.0,0.37,0.08,0.39,8
4551,0.17,0.85,0.51,1.0,0.83,0.82,0.55,0.53,0.59,0.39,1.0,0.2,0.55,0.0,0.0,0.03,3
4862,0.04,0.84,0.38,1.0,0.51,0.76,0.38,0.5,0.17,0.25,0.0,0.0,0.49,0.03,1.0,0.04,2
196,0.0,0.55,0.46,0.58,0.73,0.82,1.0,1.0,0.92,0.75,0.89,0.5,0.84,0.25,0.89,0.0,1
9684,0.32,0.92,0.24,0.47,0.71,0.36,0.38,0.0,0.0,0.0,0.21,0.48,0.49,0.92,1.0,1.0,5
9621,0.45,0.88,0.28,0.66,0.6,0.31,0.33,0.0,0.0,0.15,0.25,0.57,0.56,0.91,1.0,1.0,5
9330,0.0,1.0,0.27,0.97,0.63,0.94,1.0,0.93,0.86,0.76,0.59,0.54,0.45,0.24,0.49,0.0,7
4782,0.21,0.87,0.33,0.52,0.62,0.13,0.05,0.0,0.0,0.36,0.74,0.66,1.0,1.0,0.05,0.89,8
8450,0.51,1.0,0.1,0.75,0.0,0.33,0.31,0.0,0.82,0.06,1.0,0.44,0.75,0.82,0.28,0.9,0
2459,0.0,0.59,0.36,0.64,0.69,0.82,0.99,1.0,1.0,0.78,0.92,0.51,0.84,0.25,0.76,0.0,1
4193,0.0,0.94,0.45,1.0,0.92,0.79,0.83,0.37,0.56,0.0,0.36,0.16,0.44,0.44,1.0,0.45,7
8784,0.0,0.73,0.07,0.84,0.63,1.0,1.0,0.98,0.88,0.73,0.8,0.49,0.74,0.24,0.77,0.0,1
2543,0.58,0.56,0.55,1.0,0.0,0.74,0.68,0.42,1.0,0.0,0.19,0.01,0.29,0.45,0.87,0.83,8
3583,0.27,0.72,0.42,1.0,0.87,0.96,0.69,0.58,0.35,0.28,0.0,0.07,0.5,0.05,1.0,0.0,2
3300,0.2,1.0,0.14,0.7,0.0,0.4,0.03,0.16,0.77,0.22,1.0,0.45,0.96,0.3,0.96,0.0,4
5467,0.29,0.88,0.67,1.0,0.81,0.73,0.4,0.51,0.98,0.47,1.0,0.14,0.46,0.0,0.0,0.11,3
8440,0.78,0.75,0.51,1.0,0.08,0.75,0.47,0.58,0.85,0.6,1.0,0.2,0.64,0.0,0.0,0.01,9
8844,0.31,0.81,0.58,1.0,1.0,1.0,0.81,0.76,0.65,0.5,0.78,0.22,0.41,0.07,0.0,0.0,3
679,1.0,0.98,0.65,1.0,0.19,0.94,0.0,0.61,0.44,0.67,0.74,0.44,0.51,0.13,0.06,0.0,5
9631,0.01,0.61,0.11,1.0,0.19,0.66,0.02,0.27,0.0,0.01,0.33,0.0,0.66,0.01,1.0,0.03,2
8220,0.43,0.81,0.11,0.69,0.78,0.51,1.0,0.17,0.27,0.0,0.0,0.32,0.14,0.8,0.84,1.0,5
1134,0.0,0.96,0.59,1.0,1.0,0.89,0.74,0.54,0.47,0.19,0.28,0.0,0.35,0.39,0.92,0.48,7
5785,0.16,0.88,0.58,1.0,0.96,0.82,0.72,0.55,1.0,0.34,0.98,0.07,0.48,0.0,0.0,0.1,3
3198,1.0,0.83,0.57,1.0,0.4,0.67,0.88,0.75,0.98,0.54,0.97,0.11,0.48,0.0,0.0,0.12,9
3295,0.33,0.91,0.79,1.0,1.0,0.79,0.79,0.56,0.41,0.37,0.0,0.2,0.37,0.07,0.93,0.0,2
1949,0.35,1.0,0.38,0.79,0.06,0.48,0.67,0.39,1.0,0.63,0.76,0.57,0.34,0.3,0.0,0.0,4
8175,0.21,0.96,0.13,0.55,0.63,0.35,0.43,0.0,0.07,0.23,0.0,0.62,0.37,0.94,1.0,1.0,5
7343,0.65,1.0,0.35,0.85,0.04,0.54,0.0,0.2,0.48,0.0,1.0,0.24,0.67,0.51,0.07,0.36,6
3091,0.27,0.72,0.56,1.0,0.6,0.66,0.35,0.26,0.0,0.12,0.32,0.16,0.69,0.0,1.0,0.1,2
3486,0.14,0.74,0.36,1.0,0.77,0.93,0.53,0.58,0.18,0.29,0.0,0.15,0.5,0.09,1.0,0.0,2
2960,0.31,1.0,0.33,0.69,0.91,0.89,0.0,0.93,0.84,0.84,0.93,0.57,1.0,0.16,0.04,0.0,9
3613,0.0,0.0,0.29,0.19,0.53,0.46,0.78,0.74,1.0,1.0,0.81,0.67,0.65,0.34,0.5,0.0,1
3680,0.83,0.95,0.06,1.0,0.2,0.65,1.0,0.38,0.83,0.0,0.0,0.12,0.12,0.55,0.36,0.95,8
8876,0.0,0.98,0.42,1.0,0.65,0.64,0.47,0.23,0.21,0.0,0.03,0.4,0.51,0.46,1.0,0.49,7
8004,0.68,0.89,0.2,0.86,0.0,0.49,0.22,0.11,0.7,0.0,1.0,0.32,0.94,0.73,0.57,1.0,0
4738,0.67,0.72,0.24,0.71,0.0,0.86,0.41,1.0,0.84,0.97,1.0,0.65,0.88,0.32,0.68,0.0,9
8637,0.73,1.0,0.13,0.64,0.66,0.49,1.0,0.93,0.43,0.7,0.0,0.28,0.17,0.0,0.29,0.34,8
5979,0.37,0.78,0.15,0.58,0.49,0.25,0.18,0.0,0.0,0.3,0.01,0.72,0.49,0.89,1.0,1.0,5
4164,0.14,0.86,0.0,0.75,0.01,0.29,0.4,0.0,0.94,0.1,1.0,0.53,0.62,0.86,0.09,1.0,0
6292,0.0,0.64,0.17,1.0,0.56,0.98,0.53,0.58,0.26,0.26,0.15,0.04,0.57,0.04,1.0,0.0,2
6129,0.11,0.85,0.0,0.7,0.26,0.96,0.92,1.0,1.0,0.87,0.81,0.55,0.65,0.21,0.6,0.0,7
4570,1.0,0.74,0.51,0.73,0.0,0.79,0.23,1.0,0.72,0.95,1.0,0.66,1.0,0.32,0.85,0.0,9
9737,0.57,0.96,0.03,1.0,0.27,0.74,0.62,0.9,0.86,0.71,1.0,0.31,0.63,0.0,0.0,0.03,9
5238,0.0,0.71,0.44,0.85,0.85,1.0,1.0,0.96,0.95,0.71,0.88,0.46,0.86,0.21,0.85,0.0,1
8983,1.0,0.93,0.64,1.0,0.3,0.72,0.1,0.42,0.12,0.11,0.72,0.0,0.66,0.24,0.0,0.14,6
840,0.13,0.85,0.76,1.0,1.0,0.69,0.74,0.35,0.4,0.01,0.12,0.0,0.0,0.33,0.81,0.37,7
2376,1.0,1.0,0.55,0.88,0.2,0.61,0.0,0.28,0.19,0.0,0.66,0.14,0.62,0.43,0.17,0.43,6
6111,0.0,0.6,0.05,0.56,0.52,0.79,1.0,1.0,0.81,0.75,0.67,0.5,0.57,0.24,0.71,0.0,1
1634,0.32,0.84,0.52,0.43,0.94,0.72,0.36,1.0,0.33,0.8,1.0,0.56,0.74,0.15,0.0,0.0,9
7616,0.0,0.62,0.47,0.79,0.92,1.0,1.0,0.92,0.98,0.68,0.96,0.45,0.92,0.21,0.92,0.0,1
1540,0.16,0.78,0.66,1.0,1.0,0.75,0.46,0.39,0.0,0.0,0.66,0.04,0.24,0.45,0.23,0.85,8
3600,0.0,0.35,0.39,0.52,0.71,0.75,1.0,1.0,0.82,0.76,0.59,0.51,0.36,0.25,0.09,0.0,1
