params,folds,accuracies,efficiencies,total_times,Reduced Features
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",0,0.9494949494949495,0.011935378565932766,1.1820082664489746,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",1,0.9292929292929293,0.013223450593274049,1.3095197677612305,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",2,0.9797979797979798,0.013440406683719519,1.3309917449951172,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",3,0.9696969696969697,0.012764656182491419,1.2641046047210693,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",4,0.9696969696969697,0.013236900772711243,1.3109521865844727,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",5,0.9696969696969697,0.013224254954944958,1.309635877609253,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",6,0.98989898989899,0.013013490522750701,1.2887547016143799,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",7,0.9494949494949495,0.013874338130758267,1.373999834060669,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",8,0.98989898989899,0.014619793554749152,1.4477782249450684,0.0
"{'ds': 'vowel', 'K': '7', 'voting': 'BC', 'retention': 'DF', 'feature_selection': 'ones', 'k_fs': '80%'}",9,0.9494949494949495,0.013766399537674104,1.3632588386535645,0.0
