params,folds,accuracies,efficiencies,total_times
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR', 'instance_selection': 'MCNN'}",0,0.8,0.001276719570159912,0.0275113582611084
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR', 'instance_selection': 'MCNN'}",1,0.8,0.000635063648223877,0.015656471252441406
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR', 'instance_selection': 'MCNN'}",2,0.55,0.0007142305374145507,0.018190383911132812
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR', 'instance_selection': 'MCNN'}",3,0.75,0.0008637785911560058,0.021628379821777344
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR', 'instance_selection': 'MCNN'}",4,0.85,0.0007268071174621582,0.016554832458496094
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR', 'instance_selection': 'MCNN'}",5,0.9,0.0007337331771850586,0.015401124954223633
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR', 'instance_selection': 'MCNN'}",6,0.95,0.0011681675910949706,0.0273134708404541
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR', 'instance_selection': 'MCNN'}",7,0.75,0.0006922125816345215,0.01472163200378418
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR', 'instance_selection': 'MCNN'}",8,0.85,0.0009148836135864258,0.01995396614074707
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR', 'instance_selection': 'MCNN'}",9,0.65,0.0010621070861816407,0.02331399917602539
