a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
0.5,0.98,0.1,0.61,0.0,0.1,0.49,0.0,0.95,0.27,1.0,0.76,0.52,1.0,0.02,0.86,0
0.0,0.49,0.25,0.58,0.62,0.79,1.0,1.0,0.96,0.79,0.81,0.53,0.67,0.26,0.58,0.0,1
0.32,0.73,0.59,1.0,0.81,0.71,0.54,0.36,0.16,0.09,0.0,0.02,0.5,0.02,1.0,0.0,2
0.34,0.87,0.71,1.0,0.8,0.75,0.65,0.52,1.0,0.37,0.84,0.11,0.44,0.0,0.0,0.01,3
0.32,1.0,0.13,0.72,0.0,0.41,0.52,0.28,1.0,0.31,0.83,0.6,0.56,0.32,0.41,0.0,4
0.54,0.92,0.05,0.69,0.51,0.52,0.5,0.03,0.0,0.0,0.12,0.43,0.45,0.86,1.0,1.0,5
1.0,1.0,0.54,0.79,0.19,0.52,0.01,0.22,0.35,0.0,0.92,0.09,0.46,0.26,0.0,0.12,6
0.0,0.95,0.43,1.0,0.66,0.65,0.61,0.25,0.47,0.0,0.11,0.32,0.41,0.44,1.0,0.55,7
1.0,0.84,0.49,0.78,0.79,0.39,0.84,0.0,0.0,0.13,0.37,0.5,0.93,0.85,0.18,1.0,8
0.93,0.91,0.4,1.0,0.43,0.8,0.79,0.92,0.91,0.56,1.0,0.2,0.57,0.0,0.0,0.01,9
0.84,0.78,0.38,1.0,0.18,0.67,0.77,0.33,0.59,0.0,0.0,0.23,0.45,0.6,1.0,0.95,8
0.64,0.86,1.0,1.0,0.47,1.0,0.71,0.71,0.96,0.66,0.96,0.19,0.45,0.0,0.0,0.19,9
0.25,0.92,0.67,1.0,1.0,0.87,0.62,0.69,0.7,0.47,0.88,0.23,0.46,0.08,0.0,0.0,3
0.64,1.0,0.57,0.7,0.0,0.52,0.55,0.48,0.95,0.53,1.0,0.68,0.85,0.32,0.71,0.0,4
0.84,0.93,0.26,1.0,0.0,0.71,0.64,0.64,1.0,0.9,0.89,0.64,0.79,0.31,0.78,0.0,9
0.6,0.8,0.12,0.5,0.03,0.0,0.57,0.1,0.97,0.5,1.0,1.0,0.46,0.92,0.0,0.59,0
0.32,1.0,0.0,0.8,0.06,0.56,1.0,0.56,0.57,0.88,0.47,0.84,0.55,0.38,0.6,0.0,4
0.0,0.9,0.43,1.0,0.87,0.86,0.69,0.46,0.47,0.07,0.66,0.0,1.0,0.3,0.45,0.28,7
0.44,1.0,0.65,1.0,0.54,0.62,0.3,0.32,0.0,0.1,0.29,0.07,0.64,0.01,1.0,0.0,2
0.65,0.81,1.0,0.48,0.88,0.1,0.07,0.0,0.4,0.35,0.97,0.68,0.78,1.0,0.0,0.87,8
0.77,1.0,0.31,0.84,0.0,0.44,0.01,0.0,0.6,0.05,1.0,0.4,0.83,0.81,0.32,0.72,0
0.69,0.98,0.82,0.55,1.0,1.0,0.44,0.82,0.92,0.72,0.91,0.46,0.64,0.0,0.0,0.0,9
0.0,0.42,0.22,0.57,0.69,0.79,1.0,1.0,0.69,0.75,0.38,0.51,0.14,0.26,0.03,0.0,1
