a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
0.61,0.74,0.78,1.0,1.0,0.79,0.73,0.52,0.87,0.4,0.87,0.12,0.41,0.0,0.0,0.14,3
0.0,0.81,0.11,1.0,0.55,0.97,1.0,0.96,0.86,0.76,0.66,0.51,0.48,0.26,0.38,0.0,7
0.65,0.81,1.0,0.48,0.88,0.1,0.07,0.0,0.4,0.35,0.97,0.68,0.78,1.0,0.0,0.87,8
1.0,0.92,0.18,0.81,0.46,0.39,0.62,0.0,0.01,0.13,0.43,0.56,0.74,1.0,0.0,0.75,8
0.41,1.0,0.0,0.84,0.16,0.56,0.95,0.55,1.0,0.86,0.7,0.64,0.51,0.32,0.42,0.0,4
0.64,0.86,1.0,1.0,0.47,1.0,0.71,0.71,0.96,0.66,0.96,0.19,0.45,0.0,0.0,0.19,9
0.47,1.0,0.29,0.87,0.0,0.61,0.0,0.37,0.77,0.51,1.0,0.52,0.8,0.26,0.72,0.0,4
0.25,0.92,0.67,1.0,1.0,0.87,0.62,0.69,0.7,0.47,0.88,0.23,0.46,0.08,0.0,0.0,3
1.0,1.0,0.57,0.85,0.2,0.57,0.0,0.27,0.26,0.0,0.9,0.08,0.81,0.34,0.14,0.36,6
0.35,0.89,0.03,0.61,0.08,0.08,0.62,0.0,1.0,0.4,0.82,0.89,0.27,1.0,0.0,0.54,0
0.0,0.53,0.45,0.68,0.8,0.9,1.0,1.0,0.98,0.75,0.98,0.5,0.95,0.25,0.93,0.0,1
0.42,0.71,0.79,1.0,0.73,0.81,0.58,0.34,0.38,0.0,0.0,0.11,0.5,0.1,1.0,0.1,1
0.64,1.0,0.57,0.7,0.0,0.52,0.55,0.48,0.95,0.53,1.0,0.68,0.85,0.32,0.71,0.0,4
0.0,0.88,0.1,0.98,0.5,1.0,0.44,0.66,0.27,0.34,0.19,0.0,0.59,0.03,1.0,0.13,2
0.16,0.86,0.46,1.0,0.48,0.64,0.32,0.31,0.0,0.03,0.01,0.06,0.51,0.05,1.0,0.0,2
0.84,0.78,0.38,1.0,0.18,0.67,0.77,0.33,0.59,0.0,0.0,0.23,0.45,0.6,1.0,0.95,8
0.0,0.36,0.29,0.54,0.67,0.76,1.0,1.0,0.8,0.76,0.58,0.5,0.36,0.25,0.18,0.0,1
0.0,0.95,0.7,1.0,1.0,0.77,0.69,0.41,0.38,0.04,0.0,0.0,0.1,0.22,0.92,0.26,7
0.5,0.99,0.21,0.8,0.0,0.37,0.25,0.0,0.76,0.16,1.0,0.58,0.79,1.0,0.29,0.95,0
0.54,0.92,0.05,0.69,0.51,0.52,0.5,0.03,0.0,0.0,0.12,0.43,0.45,0.86,1.0,1.0,5
0.44,1.0,0.65,1.0,0.54,0.62,0.3,0.32,0.0,0.1,0.29,0.07,0.64,0.01,1.0,0.0,2
0.05,0.9,0.46,0.98,0.89,1.0,1.0,0.81,0.77,0.59,0.62,0.34,0.37,0.14,0.0,0.0,3
0.36,0.81,0.31,0.54,0.88,0.38,0.58,0.0,0.0,0.08,0.08,0.54,0.38,0.92,1.0,1.0,5
0.84,0.93,0.26,1.0,0.0,0.71,0.64,0.64,1.0,0.9,0.89,0.64,0.79,0.31,0.78,0.0,9
1.0,1.0,0.54,0.79,0.19,0.52,0.01,0.22,0.35,0.0,0.92,0.09,0.46,0.26,0.0,0.12,6
0.0,0.84,0.43,1.0,0.55,0.78,0.26,0.51,0.7,0.45,1.0,0.2,0.66,0.0,0.14,0.01,3
0.46,1.0,0.01,0.69,0.0,0.33,0.64,0.29,1.0,0.42,0.75,0.84,0.65,0.46,0.62,0.0,4
0.3,0.68,0.63,0.99,0.76,1.0,0.65,0.6,0.44,0.23,0.0,0.0,0.46,0.02,1.0,0.1,1
0.47,1.0,0.3,0.73,0.0,0.4,0.22,0.21,0.89,0.23,1.0,0.55,0.71,0.34,0.49,0.0,4
0.12,0.88,0.53,1.0,1.0,0.94,0.68,0.69,0.8,0.39,0.95,0.1,0.51,0.0,0.0,0.06,3
0.0,0.43,0.46,0.66,0.73,0.9,0.79,1.0,0.81,0.74,0.85,0.49,0.88,0.24,1.0,0.0,1
0.32,1.0,0.0,0.8,0.06,0.56,1.0,0.56,0.57,0.88,0.47,0.84,0.55,0.38,0.6,0.0,4
