a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
0.54,0.92,0.05,0.69,0.51,0.52,0.5,0.03,0.0,0.0,0.12,0.43,0.45,0.86,1.0,1.0,5.0
0.46,1.0,0.01,0.69,0.0,0.33,0.64,0.29,1.0,0.42,0.75,0.84,0.65,0.46,0.62,0.0,4.0
0.0,0.43,0.46,0.66,0.73,0.9,0.79,1.0,0.81,0.74,0.85,0.49,0.88,0.24,1.0,0.0,1.0
0.0,0.85,0.19,0.63,0.86,0.31,0.94,0.0,0.03,0.15,0.39,0.5,1.0,0.83,0.29,1.0,8.0
0.31,0.93,0.0,0.56,0.09,0.1,0.61,0.0,1.0,0.32,0.95,0.79,0.5,1.0,0.1,0.68,0.0
0.8,1.0,0.35,0.97,0.45,0.76,0.98,0.8,1.0,0.53,0.95,0.19,0.53,0.0,0.0,0.05,9.0
0.13,0.95,0.62,1.0,0.72,0.61,0.58,0.19,0.37,0.0,0.0,0.31,0.47,0.37,1.0,0.35,7.0
0.87,1.0,0.11,0.9,0.62,0.63,1.0,0.28,0.53,0.0,0.0,0.23,0.45,0.57,0.94,0.89,8.0
0.02,0.79,0.48,1.0,0.81,0.75,0.59,0.33,0.22,0.0,0.0,0.03,0.49,0.13,1.0,0.06,2.0
0.0,0.57,0.35,0.95,1.0,1.0,0.95,0.57,0.53,0.19,0.43,0.0,0.6,0.38,0.0,0.63,8.0
0.34,0.87,0.71,1.0,0.8,0.75,0.65,0.52,1.0,0.37,0.84,0.11,0.44,0.0,0.0,0.01,3.0
0.85,0.98,0.39,1.0,0.07,0.6,0.0,0.16,0.54,0.0,1.0,0.28,0.4,0.38,0.05,0.09,6.0
0.69,0.98,0.82,0.55,1.0,1.0,0.44,0.82,0.92,0.72,0.91,0.46,0.64,0.0,0.0,0.0,9.0
0.52,1.0,0.0,0.36,0.36,0.0,1.0,0.52,0.4,0.73,0.15,0.45,0.65,0.6,0.05,0.02,0.0
0.0,0.87,0.32,1.0,0.75,0.9,0.64,0.45,0.49,0.0,0.82,0.1,1.0,0.33,0.54,0.37,7.0
0.17,0.6,0.36,0.95,0.44,1.0,0.42,0.59,0.37,0.18,0.0,0.0,0.51,0.01,1.0,0.05,1.0
0.77,1.0,0.31,0.84,0.0,0.44,0.01,0.0,0.6,0.05,1.0,0.4,0.83,0.81,0.32,0.72,0.0
0.0,0.93,0.51,1.0,1.0,0.84,0.75,0.42,0.5,0.0,0.3,0.01,0.36,0.28,0.94,0.29,7.0
0.68,1.0,0.59,0.72,0.25,0.44,0.0,0.33,0.54,0.32,1.0,0.35,0.98,0.35,0.86,0.0,4.0
0.0,0.88,0.28,1.0,0.71,0.96,0.63,0.66,0.36,0.39,0.23,0.09,0.64,0.0,1.0,0.02,2.0
1.0,0.47,0.92,0.98,0.39,1.0,0.0,0.64,0.04,0.15,0.55,0.0,0.98,0.31,0.95,0.76,0.0
0.83,1.0,0.0,0.91,0.11,0.65,0.89,0.76,1.0,0.95,0.83,0.65,0.62,0.33,0.46,0.0,9.0
0.0,1.0,0.46,0.96,0.91,0.94,1.0,0.82,0.72,0.59,0.53,0.33,0.49,0.05,0.66,0.0,7.0
0.31,0.63,0.69,0.79,1.0,1.0,0.87,0.85,0.64,0.62,0.43,0.4,0.21,0.17,0.0,0.0,1.0
0.32,0.96,0.7,1.0,0.12,0.95,0.32,0.66,0.89,0.62,1.0,0.22,0.51,0.0,0.0,0.16,5.0
0.79,1.0,0.44,0.95,0.53,0.51,0.54,0.08,0.06,0.0,0.0,0.36,0.6,0.54,1.0,0.83,8.0
0.89,0.81,0.49,1.0,0.0,0.84,0.39,0.68,1.0,0.75,0.94,0.54,0.84,0.24,0.51,0.0,9.0
0.0,0.65,0.21,0.91,0.86,1.0,0.9,0.8,0.56,0.54,1.0,0.3,0.67,0.07,0.0,0.0,3.0
0.0,0.62,0.32,0.73,0.69,0.91,1.0,1.0,0.8,0.75,0.59,0.51,0.39,0.26,0.27,0.0,1.0
0.57,0.86,1.0,1.0,1.0,0.94,0.56,0.78,0.59,0.45,0.88,0.22,0.47,0.02,0.0,0.0,5.0
0.55,0.9,0.44,0.56,0.29,0.13,0.0,0.0,0.28,0.38,0.64,0.69,1.0,1.0,0.63,0.99,8.0
1.0,1.0,0.56,0.66,0.0,0.37,0.08,0.34,0.83,0.43,0.86,0.71,0.57,0.35,0.24,0.0,4.0
