Fold,"{'K': 3, 'voting': 'BC', 'retention': 'AR'}","{'K': 3, 'voting': 'BC', 'retention': 'DD'}","{'K': 3, 'voting': 'BC', 'retention': 'DF'}","{'K': 3, 'voting': 'BC', 'retention': 'NR'}","{'K': 3, 'voting': 'MP', 'retention': 'AR'}","{'K': 3, 'voting': 'MP', 'retention': 'DD'}","{'K': 3, 'voting': 'MP', 'retention': 'DF'}","{'K': 3, 'voting': 'MP', 'retention': 'NR'}","{'K': 5, 'voting': 'BC', 'retention': 'AR'}","{'K': 5, 'voting': 'BC', 'retention': 'DD'}","{'K': 5, 'voting': 'BC', 'retention': 'DF'}","{'K': 5, 'voting': 'BC', 'retention': 'NR'}","{'K': 5, 'voting': 'MP', 'retention': 'AR'}","{'K': 5, 'voting': 'MP', 'retention': 'DD'}","{'K': 5, 'voting': 'MP', 'retention': 'DF'}","{'K': 5, 'voting': 'MP', 'retention': 'NR'}","{'K': 7, 'voting': 'BC', 'retention': 'AR'}","{'K': 7, 'voting': 'BC', 'retention': 'DD'}","{'K': 7, 'voting': 'BC', 'retention': 'DF'}","{'K': 7, 'voting': 'BC', 'retention': 'NR'}","{'K': 7, 'voting': 'MP', 'retention': 'AR'}","{'K': 7, 'voting': 'MP', 'retention': 'DD'}","{'K': 7, 'voting': 'MP', 'retention': 'DF'}","{'K': 7, 'voting': 'MP', 'retention': 'NR'}"
0,0.118765876,0.113487568,0.110618273,0.111170056,0.119255467,0.11019494,0.110470674,0.134783114,0.131866463,0.112748993,0.114804682,0.126522782,0.121382921,0.125782647,0.11459373,0.112671588,0.118881437,0.109689044,0.113881261,0.111258772,0.122486276,0.113365753,0.113746526,0.114133022
1,0.118757312,0.113228715,0.110594612,0.111090546,0.119372489,0.110823758,0.110686016,0.137165206,0.132794148,0.11982335,0.11496256,0.126436829,0.121132449,0.128457768,0.116288393,0.113355517,0.118580645,0.109258444,0.110668914,0.110198802,0.122685849,0.112561722,0.113655199,0.114847871
2,0.118812139,0.113652261,0.111204835,0.111567449,0.120969613,0.113133802,0.11095245,0.136075097,0.133224329,0.116347717,0.11512513,0.127530421,0.121805459,0.124294605,0.119006128,0.113593697,0.118750329,0.109456649,0.110651229,0.110108287,0.122668309,0.112857976,0.114112628,0.114817391
3,0.118785361,0.113194151,0.110882417,0.115619744,0.119483776,0.11358803,0.111200397,0.135013931,0.136299407,0.115270435,0.114976087,0.128518211,0.121313552,0.125604701,0.117051084,0.113047529,0.118214135,0.109494141,0.1103417,0.109998815,0.122587405,0.113174446,0.11396975,0.114775385
4,0.118927598,0.113053349,0.110523429,0.11048379,0.11860674,0.111406102,0.110939794,0.138702677,0.13773581,0.115296565,0.115081028,0.128037832,0.120746879,0.12701181,0.115914835,0.113254185,0.118225014,0.109792136,0.110629839,0.109860967,0.122640636,0.109901966,0.114812121,0.114583373
5,0.118594963,0.113040024,0.110908171,0.110699297,0.118012016,0.111923347,0.110843349,0.142221604,0.139602503,0.115733861,0.115109169,0.125827986,0.121388322,0.126392848,0.116927171,0.112966893,0.119606974,0.109667137,0.110559434,0.114844263,0.122784912,0.10977331,0.113903083,0.114169168
6,0.118397887,0.114680907,0.111758809,0.11079183,0.118439266,0.11141414,0.110680367,0.139446357,0.136024419,0.115055402,0.115299222,0.124007193,0.122120222,0.125707612,0.128999881,0.112970675,0.119172389,0.1095109,0.110337862,0.112042776,0.122883914,0.114696493,0.114545674,0.112506398
7,0.118959941,0.113426098,0.112897043,0.110979866,0.11849727,0.111213469,0.11065984,0.135560309,0.202363274,0.115333645,0.115882392,0.130590812,0.121216025,0.128147061,0.121430189,0.113677409,0.140446589,0.109774421,0.110413487,0.109801859,0.122549242,0.114642995,0.113686619,0.111615656
8,0.118524858,0.11303372,0.112483055,0.110592311,0.118970588,0.110923591,0.110533029,0.116562271,0.18643141,0.114162108,0.115712296,0.125712671,0.121850554,0.122597783,0.127239165,0.113070127,0.121279221,0.109476723,0.110730181,0.109659025,0.122615505,0.115353712,0.114191456,0.111102062
9,0.118673619,0.113079608,0.111896369,0.110301309,0.118744383,0.110440458,0.110462286,0.110693241,0.124989452,0.117562726,0.11599611,0.126162684,0.122993087,0.124168197,0.133195815,0.113236229,0.120564021,0.10952334,0.109817697,0.109887194,0.12270707,0.112984318,0.113828055,0.113143368
10,0.010834617,0.009885169,0.009811565,0.009703694,0.01100623,0.009951122,0.009707769,0.009637768,0.010698509,0.009905146,0.009795129,0.009585525,0.010742982,0.009934548,0.009719302,0.009637281,0.010683987,0.010033839,0.009745783,0.009628286,0.010705498,0.010154459,0.00977226,0.009564766
11,0.010719044,0.009936224,0.009684358,0.009615332,0.010819958,0.009912606,0.009703239,0.009726847,0.010704529,0.010080366,0.009753114,0.00963901,0.010711075,0.009912431,0.009826121,0.009603387,0.011567826,0.009977398,0.009869886,0.009872528,0.010677222,0.009964813,0.0098109,0.009632843
12,0.010764132,0.00987811,0.009684962,0.009590797,0.010737927,0.009936516,0.009695328,0.009615874,0.010775183,0.010007714,0.00969965,0.009741198,0.010725741,0.010097793,0.009598686,0.009640626,0.011418634,0.010074599,0.00962405,0.009610039,0.010776753,0.010062931,0.009735493,0.009845731
13,0.010671536,0.009844532,0.009582563,0.009620705,0.010747873,0.009814226,0.009627826,0.009606672,0.011189877,0.009903592,0.00967124,0.009743296,0.010808427,0.009972389,0.009730756,0.009641267,0.010808853,0.0100099,0.009717185,0.009610222,0.010691202,0.010067701,0.00977435,0.009670787
14,0.010769536,0.009909651,0.009823414,0.009596687,0.010809301,0.009975339,0.00958722,0.009610913,0.010795548,0.009946349,0.009640855,0.009687123,0.010953631,0.009936289,0.009752729,0.009699207,0.010732672,0.010122282,0.009670404,0.009694138,0.010785731,0.010133681,0.009758164,0.009668326
15,0.010694244,0.009774697,0.009637399,0.009687549,0.010976664,0.009825625,0.009857582,0.009667861,0.010783082,0.009869852,0.009609757,0.009624252,0.010796648,0.009866505,0.009820562,0.009595011,0.010735854,0.010082871,0.009827125,0.009596285,0.01069755,0.009980816,0.009736191,0.009715386
