params,folds,accuracies,efficiencies,total_times
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",0,0.9954462659380692,0.1347831135890523,147.9978711605072
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",1,0.991810737033667,0.13716520603620758,150.75132203102112
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",2,0.9954421148587056,0.1360750972083621,149.27838683128357
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",3,0.99,0.1350139314478094,148.5227632522583
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",4,0.9936247723132969,0.1387026770301638,152.30077409744263
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",5,0.9963570127504554,0.14222160410577048,156.1663327217102
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",6,0.9945553539019963,0.13944635741723643,153.67366743087769
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",7,0.9927272727272727,0.13556030945344405,149.12110924720764
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",8,0.994535519125683,0.11656227137873082,127.99238514900208
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",9,0.9927404718693285,0.11069324120419428,121.98926877975464
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",0,0.9963570127504554,0.11925546740790752,130.94946479797363
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",1,0.991810737033667,0.11937248934606079,131.19939970970154
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",2,0.9954421148587056,0.12096961346559341,132.71349215507507
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",3,0.99,0.1194837760925293,131.43613862991333
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",4,0.994535519125683,0.11860674044256436,130.23423385620117
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",5,0.9954462659380692,0.11801201615394356,129.58010721206665
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",6,0.9945553539019963,0.11843926569078449,130.52915358543396
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",7,0.9927272727272727,0.1184972695870833,130.35202050209045
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",8,0.994535519125683,0.11897058803961359,130.63687777519226
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",9,0.9927404718693285,0.1187443830573191,130.86366033554077
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",0,0.9954462659380692,0.11047067429415733,121.29983329772949
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",1,0.991810737033667,0.11068601625631677,121.6489770412445
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",2,0.9954421148587056,0.11095245012719737,121.72186303138733
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",3,0.99,0.1112003965811296,122.32592296600342
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",4,0.9936247723132969,0.11093979411655003,121.81914973258972
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",5,0.9954462659380692,0.11084334924138527,121.71010780334473
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",6,0.9954627949183303,0.1106803668172736,121.97796487808228
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",7,0.9927272727272727,0.11065983989021995,121.73092341423035
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",8,0.994535519125683,0.11053302878673393,121.36840224266052
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",9,0.9927404718693285,0.11046228607856211,121.73431754112244
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",0,0.9954462659380692,0.11019493973320299,121.00319480895996
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",1,0.991810737033667,0.11082375776344695,121.8005940914154
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",2,0.9954421148587056,0.11313380234439262,124.11183714866638
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",3,0.99,0.11358803033828735,124.95082664489746
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",4,0.994535519125683,0.11140610198939867,122.32902693748474
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",5,0.9954462659380692,0.11192334740539718,122.89477181434631
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",6,0.9945553539019963,0.11141413980300544,122.78311586380005
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",7,0.9927272727272727,0.1112134692885659,122.34026598930359
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",8,0.994535519125683,0.11092359077300748,121.7990710735321
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",9,0.9927404718693285,0.11044045758117566,121.70938158035278
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",0,0.9918032786885246,0.11117005608772319,122.06973648071289
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",1,0.9936305732484076,0.11109054555016501,122.09250354766846
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",2,0.9954421148587056,0.1115674485699524,122.3914852142334
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",3,0.9927272727272727,0.11561974438753995,127.18675494194031
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",4,0.9954462659380692,0.1104837901388144,121.31487488746643
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",5,0.9927140255009107,0.11069929664903651,121.55090236663818
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",6,0.9945553539019963,0.11079183009921315,122.09640979766846
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",7,0.99,0.1109798661145297,122.08204221725464
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",8,0.9927140255009107,0.11059231054587443,121.43500399589539
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",9,0.9945553539019963,0.11030130918575501,121.55926370620728
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",0,0.9918032786885246,0.11876587637569518,130.41085362434387
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",1,0.9936305732484076,0.11875731192251246,130.51884841918945
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",2,0.9963536918869644,0.1188121389668968,130.34090900421143
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",3,0.9927272727272727,0.11878536115993153,130.66871905326843
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",4,0.9954462659380692,0.11892759799957275,130.590735912323
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",5,0.9936247723132969,0.11859496325960142,130.22292113304138
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",6,0.9954627949183303,0.1183978868699117,130.47982454299927
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",7,0.9918181818181818,0.11895994078029286,130.8685564994812
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",8,0.9927140255009107,0.11852485777467543,130.15193343162537
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",9,0.9936479128856625,0.11867361925474745,130.78510069847107
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",0,0.9918032786885246,0.1106182725485991,121.46601629257202
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",1,0.9936305732484076,0.11059461190984725,121.54849028587341
