params,folds,accuracies,efficiencies,total_times
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",0,0.995446266,0.134783114,147.9978712
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",1,0.991810737,0.137165206,150.751322
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",2,0.995442115,0.136075097,149.2783868
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",3,0.99,0.135013931,148.5227633
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",4,0.993624772,0.138702677,152.3007741
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",5,0.996357013,0.142221604,156.1663327
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",6,0.994555354,0.139446357,153.6736674
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",7,0.992727273,0.135560309,149.1211092
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",8,0.994535519,0.116562271,127.9923851
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'NR'}",9,0.992740472,0.110693241,121.9892688
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",0,0.996357013,0.119255467,130.9494648
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",1,0.991810737,0.119372489,131.1993997
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",2,0.995442115,0.120969613,132.7134922
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",3,0.99,0.119483776,131.4361386
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",4,0.994535519,0.11860674,130.2342339
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",5,0.995446266,0.118012016,129.5801072
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",6,0.994555354,0.118439266,130.5291536
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",7,0.992727273,0.11849727,130.3520205
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",8,0.994535519,0.118970588,130.6368778
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'AR'}",9,0.992740472,0.118744383,130.8636603
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",0,0.995446266,0.110470674,121.2998333
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",1,0.991810737,0.110686016,121.648977
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",2,0.995442115,0.11095245,121.721863
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",3,0.99,0.111200397,122.325923
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",4,0.993624772,0.110939794,121.8191497
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",5,0.995446266,0.110843349,121.7101078
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",6,0.995462795,0.110680367,121.9779649
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",7,0.992727273,0.11065984,121.7309234
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",8,0.994535519,0.110533029,121.3684022
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DF'}",9,0.992740472,0.110462286,121.7343175
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",0,0.995446266,0.11019494,121.0031948
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",1,0.991810737,0.110823758,121.8005941
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",2,0.995442115,0.113133802,124.1118371
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",3,0.99,0.11358803,124.9508266
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",4,0.994535519,0.111406102,122.3290269
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",5,0.995446266,0.111923347,122.8947718
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",6,0.994555354,0.11141414,122.7831159
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",7,0.992727273,0.111213469,122.340266
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",8,0.994535519,0.110923591,121.7990711
"{'ds': 'pen-based', 'K': 3, 'voting': 'MP', 'retention': 'DD'}",9,0.992740472,0.110440458,121.7093816
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",0,0.991803279,0.111170056,122.0697365
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",1,0.993630573,0.111090546,122.0925035
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",2,0.995442115,0.111567449,122.3914852
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",3,0.992727273,0.115619744,127.1867549
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",4,0.995446266,0.11048379,121.3148749
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",5,0.992714026,0.110699297,121.5509024
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",6,0.994555354,0.11079183,122.0964098
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",7,0.99,0.110979866,122.0820422
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",8,0.992714026,0.110592311,121.435004
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'NR'}",9,0.994555354,0.110301309,121.5592637
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",0,0.991803279,0.118765876,130.4108536
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",1,0.993630573,0.118757312,130.5188484
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",2,0.996353692,0.118812139,130.340909
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",3,0.992727273,0.118785361,130.6687191
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",4,0.995446266,0.118927598,130.5907359
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",5,0.993624772,0.118594963,130.2229211
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",6,0.995462795,0.118397887,130.4798245
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",7,0.991818182,0.118959941,130.8685565
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",8,0.992714026,0.118524858,130.1519334
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'AR'}",9,0.993647913,0.118673619,130.7851007
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",0,0.991803279,0.110618273,121.4660163
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",1,0.993630573,0.110594612,121.5484903
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",2,0.995442115,0.111204835,122.0007572
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",3,0.992727273,0.110882417,121.9764378
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",4,0.995446266,0.110523429,121.3595574
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",5,0.992714026,0.110908171,121.7843022
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",6,0.995462795,0.111758809,123.162792
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",7,0.990909091,0.112897043,124.1937444
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",8,0.992714026,0.112483055,123.5093935
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DF'}",9,0.994555354,0.111896369,123.3148098
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DD'}",0,0.991803279,0.113487568,124.6150646
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DD'}",1,0.993630573,0.113228715,124.4414587
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DD'}",2,0.996353692,0.113652261,124.6785376
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DD'}",3,0.992727273,0.113194151,124.5200117
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DD'}",4,0.995446266,0.113053349,124.1381431
"{'ds': 'pen-based', 'K': 3, 'voting': 'BC', 'retention': 'DD'}",5,0.992714026,0.113040024,124.1236334
