a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
0.36,0.82,0.0,0.68,0.04,0.21,0.48,0.0,0.92,0.24,1.0,0.7,0.61,1.0,0.23,0.76,0
0.0,0.64,0.47,0.81,1.0,1.0,0.91,0.84,0.65,0.62,0.47,0.4,0.42,0.17,0.63,0.0,1
0.12,0.76,0.46,1.0,0.67,0.79,0.52,0.46,0.26,0.16,0.0,0.0,0.55,0.02,1.0,0.07,2
0.25,0.79,0.58,1.0,0.88,0.84,0.56,0.56,0.79,0.43,1.0,0.19,0.54,0.0,0.0,0.08,3
0.32,1.0,0.19,0.78,0.0,0.48,0.49,0.35,1.0,0.47,0.98,0.6,0.75,0.3,0.59,0.0,4
0.43,1.0,0.3,0.64,0.49,0.28,0.3,0.0,0.0,0.25,0.18,0.59,0.58,0.73,1.0,0.78,5
1.0,1.0,0.54,0.89,0.18,0.61,0.0,0.27,0.29,0.0,0.83,0.11,0.61,0.35,0.07,0.25,6
0.0,0.92,0.46,1.0,0.82,0.76,0.7,0.38,0.5,0.0,0.31,0.1,0.48,0.34,1.0,0.36,7
0.77,1.0,0.28,0.8,0.63,0.41,0.59,0.0,0.0,0.1,0.47,0.44,1.0,0.75,0.61,0.94,8
0.69,0.84,0.31,1.0,0.29,0.65,0.76,0.86,0.81,0.76,1.0,0.31,0.58,0.04,0.0,0.0,9
0.8,0.7,0.57,1.0,0.15,0.73,0.0,0.3,0.34,0.0,0.83,0.15,1.0,0.56,0.75,0.88,0
0.33,0.66,0.53,1.0,0.53,0.91,0.58,0.53,0.51,0.17,0.0,0.0,0.35,0.03,1.0,0.06,1
0.0,0.77,0.36,1.0,0.94,0.98,1.0,0.69,0.58,0.44,0.14,0.21,0.29,0.02,0.9,0.0,2
0.0,0.87,0.42,1.0,1.0,0.94,0.87,0.73,0.67,0.53,0.64,0.32,0.69,0.11,0.22,0.0,3
0.65,0.89,0.61,1.0,0.16,0.73,0.0,0.47,0.65,0.4,1.0,0.59,0.61,0.3,0.28,0.0,4
0.55,0.91,1.0,1.0,0.64,0.94,0.27,0.69,0.53,0.52,0.84,0.32,0.48,0.07,0.0,0.0,5
0.27,1.0,0.08,0.7,0.0,0.4,0.14,0.09,0.65,0.0,1.0,0.22,0.62,0.42,0.14,0.33,6
0.0,1.0,0.34,0.94,0.7,0.9,1.0,0.85,0.78,0.64,0.57,0.41,0.42,0.15,0.43,0.0,7
0.49,0.75,0.44,1.0,0.23,0.73,0.43,0.37,0.47,0.0,0.0,0.16,0.4,0.45,1.0,0.68,8
0.46,0.87,0.62,0.65,0.97,1.0,0.32,0.89,0.62,0.66,1.0,0.48,0.71,0.04,0.0,0.0,9
0.8,1.0,0.28,0.96,0.0,0.2,0.52,0.0,1.0,0.65,0.61,0.94,0.57,0.68,0.32,0.3,0
0.0,0.62,0.47,0.88,0.67,1.0,0.63,0.65,0.59,0.29,0.46,0.02,0.34,0.0,1.0,0.0,1
0.41,0.8,0.54,1.0,0.92,0.83,0.76,0.49,0.43,0.19,0.0,0.0,0.43,0.17,1.0,0.02,2
0.55,0.94,0.3,1.0,0.84,0.99,0.63,0.66,0.77,0.58,1.0,0.31,0.6,0.03,0.0,0.0,3
0.52,1.0,0.0,0.83,0.16,0.6,0.85,0.55,1.0,0.72,0.66,0.54,0.43,0.27,0.2,0.0,4
0.34,1.0,0.18,0.63,0.63,0.34,0.34,0.0,0.0,0.15,0.14,0.58,0.4,0.93,1.0,0.89,5
0.52,1.0,0.18,0.76,0.0,0.46,0.09,0.17,0.61,0.19,1.0,0.38,0.54,0.22,0.18,0.0,6
0.0,0.88,0.48,1.0,1.0,0.91,0.73,0.51,0.51,0.09,0.41,0.0,0.21,0.27,0.78,0.33,7
0.1,0.81,0.61,1.0,1.0,0.76,0.64,0.38,0.35,0.0,0.83,0.1,0.51,0.48,0.0,0.76,8
0.72,0.65,0.53,1.0,0.0,0.88,0.39,0.64,0.75,0.83,1.0,0.42,0.84,0.04,0.27,0.0,9
0.3,1.0,0.03,0.68,0.0,0.25,0.36,0.0,0.81,0.1,1.0,0.48,0.66,0.75,0.21,0.63,0
0.0,0.78,0.5,0.86,1.0,1.0,0.85,0.8,0.73,0.6,0.58,0.4,0.5,0.19,0.31,0.0,1
0.0,0.79,0.28,1.0,0.54,0.9,0.46,0.62,0.28,0.36,0.18,0.09,0.52,0.0,1.0,0.05,2
0.0,0.75,0.28,0.92,0.64,1.0,0.93,0.91,0.93,0.62,1.0,0.35,0.78,0.13,0.46,0.0,3
0.26,1.0,0.11,0.78,0.0,0.51,0.16,0.28,0.59,0.36,1.0,0.51,0.85,0.26,0.69,0.0,4
1.0,1.0,0.64,0.98,0.26,0.85,0.36,0.63,0.76,0.58,0.75,0.24,0.42,0.01,0.0,0.0,5
0.84,0.88,1.0,1.0,0.7,0.73,0.46,0.47,0.32,0.19,0.51,0.0,0.41,0.25,0.0,0.08,6
0.0,1.0,0.56,0.96,1.0,0.77,0.73,0.43,0.45,0.1,0.53,0.0,0.85,0.31,0.3,0.33,7
0.49,0.92,0.37,0.76,0.62,0.35,0.3,0.0,0.0,0.28,0.52,0.59,1.0,0.91,0.42,1.0,8
0.49,0.97,0.56,0.77,0.68,1.0,0.4,0.82,0.78,0.55,1.0,0.23,0.52,0.05,0.0,0.0,9
0.7,1.0,0.02,0.5,0.15,0.01,1.0,0.36,0.7,0.79,0.36,0.56,0.67,0.51,0.0,0.0,0
0.0,0.42,0.35,0.71,0.7,1.0,0.63,0.74,0.57,0.37,0.48,0.0,0.44,0.0,1.0,0.02,1
0.0,0.75,0.25,0.99,0.84,1.0,0.88,0.73,0.66,0.46,0.37,0.21,0.37,0.0,1.0,0.01,2
0.47,1.0,0.88,0.93,1.0,0.74,0.63,0.61,0.46,0.43,0.59,0.21,0.42,0.04,0.0,0.0,3
1.0,1.0,0.65,0.78,0.29,0.57,0.0,0.34,0.57,0.39,0.77,0.51,0.58,0.26,0.51,0.0,4
0.35,0.96,0.87,1.0,0.74,0.99,0.28,0.77,0.6,0.56,1.0,0.35,0.53,0.09,0.0,0.0,5
0.84,0.88,1.0,1.0,0.7,0.73,0.46,0.47,0.32,0.19,0.51,0.0,0.41,0.25,0.0,0.08,6
0.0,0.75,0.33,0.89,0.77,1.0,0.79,0.72,0.61,0.37,0.55,0.0,0.55,0.2,1.0,0.27,7
0.33,0.88,0.39,0.59,0.63,1.0,0.0,0.65,0.28,0.43,0.4,0.0,1.0,0.42,0.25,0.47,8
0.53,0.6,0.85,0.83,0.48,1.0,0.0,0.79,0.46,0.7,1.0,0.57,0.81,0.28,0.54,0.0,9
0.88,0.63,0.73,1.0,0.25,0.98,0.0,0.55,0.11,0.11,0.57,0.0,1.0,0.23,0.98,0.68,0
0.0,0.69,0.42,0.87,1.0,1.0,0.75,0.79,0.5,0.59,0.25,0.39,0.17,0.19,0.67,0.0,1
0.0,0.61,0.22,0.89,0.59,1.0,0.72,0.73,0.53,0.42,0.31,0.12,0.58,0.0,1.0,0.04,2
0.47,0.8,0.71,1.0,1.0,0.89,0.38,0.72,0.44,0.48,0.91,0.23,0.45,0.0,0.0,0.1,3
0.57,1.0,0.25,0.75,0.0,0.52,0.85,0.53,1.0,0.73,0.65,0.85,0.31,0.43,0.02,0.0,4
1.0,0.98,0.71,1.0,0.42,0.88,0.35,0.55,0.59,0.41,0.61,0.16,0.31,0.03,0.0,0.0,5
1.0,1.0,0.62,0.84,0.26,0.56,0.0,0.25,0.28,0.0,0.83,0.16,0.64,0.44,0.13,0.26,6
0.0,0.92,0.39,0.99,1.0,1.0,0.82,0.66,0.5,0.33,0.17,0.0,0.19,0.17,0.65,0.3,7
0.0,0.76,0.49,1.0,1.0,0.82,0.58,0.41,0.28,0.0,0.82,0.15,0.28,0.51,0.34,0.88,8
0.49,0.61,0.95,0.87,0.52,1.0,0.41,0.69,1.0,0.83,0.78,0.53,0.54,0.18,0.0,0.0,9
0.43,0.61,0.1,0.23,0.46,0.0,0.88,0.31,1.0,0.76,0.64,1.0,0.24,0.67,0.0,0.25,0
0.0,0.73,0.4,0.98,0.58,1.0,0.55,0.64,0.58,0.27,0.24,0.03,0.43,0.0,1.0,0.04,1
0.4,0.8,0.63,1.0,1.0,0.91,0.84,0.67,0.52,0.46,0.18,0.28,0.0,0.06,0.47,0.0,2
0.0,0.92,0.42,1.0,0.9,1.0,1.0,0.83,0.71,0.63,0.57,0.4,0.44,0.17,0.14,0.0,3
1.0,1.0,0.73,0.78,0.38,0.59,0.0,0.41,0.33,0.36,0.67,0.43,0.4,0.22,0.27,0.0,4
0.37,0.91,0.84,1.0,1.0,0.96,0.52,0.87,0.32,0.57,0.74,0.38,0.41,0.01,0.0,0.0,5
0.25,0.75,0.85,1.0,0.49,0.72,0.18,0.4,0.0,0.07,0.51,0.0,1.0,0.28,0.49,0.29,6
0.0,0.83,0.21,1.0,0.62,0.93,0.57,0.46,0.51,0.0,0.29,0.1,0.56,0.21,1.0,0.28,7
0.56,0.71,0.31,1.0,0.16,0.66,0.24,0.23,0.0,0.0,0.17,0.34,0.57,0.57,1.0,0.76,8
1.0,0.82,0.67,1.0,0.38,0.79,0.69,0.66,0.9,0.61,0.73,0.3,0.43,0.06,0.0,0.0,9
1.0,1.0,0.53,0.77,0.2,0.4,0.13,0.0,0.65,0.15,0.94,0.51,0.56,0.78,0.0,0.78,0
0.0,0.78,0.5,0.86,1.0,1.0,0.85,0.8,0.73,0.6,0.58,0.4,0.5,0.19,0.31,0.0,1
0.0,0.69,0.27,0.95,0.66,1.0,0.76,0.66,0.61,0.31,0.37,0.01,0.58,0.0,1.0,0.06,2
0.53,0.92,0.75,1.0,0.72,0.71,0.64,0.6,1.0,0.44,0.78,0.15,0.32,0.0,0.0,0.1,3
0.92,1.0,0.49,0.88,0.08,0.59,0.56,0.45,1.0,0.69,0.82,0.56,0.39,0.29,0.0,0.0,4
0.37,0.91,0.84,1.0,1.0,0.96,0.52,0.87,0.32,0.57,0.74,0.38,0.41,0.01,0.0,0.0,5
1.0,1.0,0.4,0.84,0.0,0.45,0.0,0.0,0.57,0.17,0.38,0.5,0.14,0.52,0.57,0.27,6
0.0,1.0,0.22,0.86,0.6,0.8,1.0,0.8,0.84,0.65,0.66,0.42,0.51,0.18,0.47,0.0,7
0.55,0.76,0.22,0.68,0.66,0.29,0.39,0.0,0.52,0.32,1.0,0.68,0.69,1.0,0.0,0.86,8
0.49,0.61,0.95,0.87,0.52,1.0,0.41,0.69,1.0,0.83,0.78,0.53,0.54,0.18,0.0,0.0,9
0.97,1.0,0.41,0.81,0.14,0.13,0.71,0.23,1.0,0.85,0.77,0.85,0.47,0.53,0.0,0.0,0
0.0,0.6,0.31,0.75,0.65,0.88,1.0,1.0,0.82,0.75,0.63,0.51,0.48,0.25,0.57,0.0,1
0.0,0.78,0.4,1.0,0.8,0.86,0.7,0.42,0.4,0.07,0.14,0.0,0.56,0.18,1.0,0.03,2
0.15,0.9,0.58,1.0,1.0,0.92,0.71,0.72,0.53,0.51,0.66,0.28,0.48,0.07,0.0,0.0,3
0.09,1.0,0.0,0.8,0.37,0.67,1.0,0.72,1.0,0.85,0.77,0.57,0.53,0.28,0.36,0.0,4
0.62,0.97,0.85,1.0,0.42,0.77,0.49,0.67,1.0,0.57,0.94,0.23,0.5,0.0,0.0,0.09,5
1.0,1.0,0.4,0.84,0.0,0.45,0.0,0.0,0.57,0.17,0.38,0.5,0.14,0.52,0.57,0.27,6
0.0,0.98,0.6,1.0,1.0,0.78,0.74,0.38,0.46,0.0,0.62,0.01,0.82,0.29,0.21,0.42,7
0.02,0.77,0.54,1.0,1.0,0.79,0.86,0.47,0.59,0.16,0.63,0.0,0.73,0.27,0.0,0.43,8
0.28,0.71,0.68,1.0,0.61,0.63,0.29,0.91,0.82,0.81,1.0,0.34,0.57,0.0,0.0,0.17,9
0.77,1.0,0.53,0.9,0.0,0.43,0.13,0.0,0.86,0.34,1.0,0.84,0.73,0.51,0.1,0.09,0
0.38,0.72,0.59,1.0,0.74,0.99,0.61,0.57,0.48,0.16,0.0,0.03,0.44,0.0,1.0,0.02,1
0.06,0.48,0.32,0.77,0.75,1.0,1.0,0.79,0.73,0.51,0.33,0.26,0.0,0.01,0.62,0.0,2
0.0,0.85,0.38,1.0,0.6,0.85,0.34,0.59,0.76,0.5,1.0,0.26,0.68,0.05,0.24,0.0,3
0.77,1.0,0.48,0.6,0.0,0.32,0.5,0.4,1.0,0.49,0.91,0.86,0.7,0.43,0.52,0.0,4
0.42,0.76,0.79,1.0,0.86,0.89,0.45,0.64,0.6,0.42,1.0,0.2,0.56,0.0,0.0,0.02,5
0.7,1.0,0.35,0.72,0.1,0.44,0.1,0.14,0.68,0.0,1.0,0.26,0.65,0.53,0.0,0.63,6
0.0,0.75,0.33,0.89,0.77,1.0,0.79,0.72,0.61,0.37,0.55,0.0,0.55,0.2,1.0,0.27,7
0.55,0.65,1.0,0.87,0.61,1.0,0.53,0.66,0.71,0.29,0.4,0.0,0.0,0.21,0.39,0.47,8
0.42,0.84,0.8,0.85,0.52,1.0,0.67,0.81,1.0,0.57,0.85,0.22,0.44,0.05,0.0,0.0,9
0.45,1.0,0.12,0.82,0.0,0.41,0.17,0.04,0.62,0.0,1.0,0.21,0.96,0.6,0.54,0.66,0
0.28,0.55,0.63,0.78,1.0,1.0,0.75,0.71,0.56,0.42,0.35,0.13,0.0,0.0,0.25,0.0,1
0.45,0.69,0.58,1.0,0.94,0.83,0.75,0.47,0.39,0.18,0.0,0.0,0.5,0.09,1.0,0.02,2
0.29,0.87,0.66,1.0,1.0,0.97,0.74,0.76,0.69,0.52,0.72,0.29,0.38,0.12,0.0,0.0,3
0.77,1.0,0.41,0.71,0.0,0.4,0.07,0.18,0.75,0.3,1.0,0.52,0.7,0.37,0.57,0.0,4
0.42,0.76,0.79,1.0,0.86,0.89,0.45,0.64,0.6,0.42,1.0,0.2,0.56,0.0,0.0,0.02,5
1.0,1.0,0.47,0.81,0.2,0.43,0.3,0.04,0.93,0.0,0.93,0.35,0.4,0.43,0.0,0.4,6
