,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,y_true
0,0.36,0.82,0.0,0.68,0.04,0.21,0.48,0.0,0.92,0.24,1.0,0.7,0.61,1.0,0.23,0.76,0
1,0.0,0.64,0.47,0.81,1.0,1.0,0.91,0.84,0.65,0.62,0.47,0.4,0.42,0.17,0.63,0.0,1
2,0.12,0.76,0.46,1.0,0.67,0.79,0.52,0.46,0.26,0.16,0.0,0.0,0.55,0.02,1.0,0.07,2
3,0.25,0.79,0.58,1.0,0.88,0.84,0.56,0.56,0.79,0.43,1.0,0.19,0.54,0.0,0.0,0.08,3
4,0.32,1.0,0.19,0.78,0.0,0.48,0.49,0.35,1.0,0.47,0.98,0.6,0.75,0.3,0.59,0.0,4
5,0.43,1.0,0.3,0.64,0.49,0.28,0.3,0.0,0.0,0.25,0.18,0.59,0.58,0.73,1.0,0.78,5
6,1.0,1.0,0.54,0.89,0.18,0.61,0.0,0.27,0.29,0.0,0.83,0.11,0.61,0.35,0.07,0.25,6
7,0.0,0.92,0.46,1.0,0.82,0.76,0.7,0.38,0.5,0.0,0.31,0.1,0.48,0.34,1.0,0.36,7
8,0.77,1.0,0.28,0.8,0.63,0.41,0.59,0.0,0.0,0.1,0.47,0.44,1.0,0.75,0.61,0.94,8
9,0.69,0.84,0.31,1.0,0.29,0.65,0.76,0.86,0.81,0.76,1.0,0.31,0.58,0.04,0.0,0.0,9
10,0.8,0.7,0.57,1.0,0.15,0.73,0.0,0.3,0.34,0.0,0.83,0.15,1.0,0.56,0.75,0.88,0
11,0.33,0.66,0.53,1.0,0.53,0.91,0.58,0.53,0.51,0.17,0.0,0.0,0.35,0.03,1.0,0.06,1
12,0.0,0.77,0.36,1.0,0.94,0.98,1.0,0.69,0.58,0.44,0.14,0.21,0.29,0.02,0.9,0.0,2
13,0.0,0.87,0.42,1.0,1.0,0.94,0.87,0.73,0.67,0.53,0.64,0.32,0.69,0.11,0.22,0.0,3
